Timestamp,Room,Energy_kWh,Voltage,Current,PowerFactor,Cost,CO2_kg
2026-07-01 08:00,Lab,5.2,230,2.3,0.95,41.6,4.16
2026-07-01 10:00,Classroom,3.8,229,1.8,0.94,30.4,3.04
2026-07-01 12:00,Office,4.5,231,2.0,0.96,36.0,3.60
2026-07-01 14:00,Cafeteria,6.8,232,3.1,0.93,54.4,5.44
2026-07-01 16:00,Library,2.9,230,1.4,0.97,23.2,2.32
2026-07-02 08:00,Lab,5.5,231,2.4,0.95,44.0,4.40
2026-07-02 10:00,Classroom,4.0,229,1.9,0.94,32.0,3.20
2026-07-02 12:00,Office,4.7,230,2.1,0.96,37.6,3.76
2026-07-02 14:00,Cafeteria,7.1,232,3.2,0.93,56.8,5.68
2026-07-02 16:00,Library,3.1,230,1.5,0.97,24.8,2.48
